doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1108/ijopm-03-2026-0445,When stability becomes a liability: the negative effects of supplier network stability on green innovation diversity and quality,Qiuxia Zheng; Shan Liu; Jing Tan,"School of Management, Xi'an Jiaotong University , ,; ESADE Business School, Universitat Ramon Llull , ,","Purpose Drawing on the network embeddedness perspective, this study aims to investigate how supplier network stability affects two distinct facets of green innovation – diversity and quality – and how these relationships are moderated by absorptive capacity. Design/methodology/approach The proposed relationships are tested using ordinary least squares regression based on a sample of 1,655 firm-year observations from 577 Chinese publicly listed firms over the period 2009–2023. To address potential endogeneity and selection bias, we conduct a series of analyses. Findings We find that supplier network stability is detrimental to both green innovation diversity and green innovation quality. Furthermore, absorptive capacity plays a differential moderating role, alleviating the detrimental influence of supplier network stability on green innovation quality while having no significant moderating effect on green innovation diversity. Originality/value By integrating the network embeddedness perspective with the green innovation literature, this study uncovers the unintended consequences of supplier network stability for green innovation diversity and quality and underscores the important role of absorptive capacity in mitigating these adverse effects.",International Journal of Operations &amp; Production Management,2026-09-18,journal-article,https://doi.org/10.1108/ijopm-03-2026-0445,1758-6593,International Journal of Operations and Production Management,OPS&TECH,Emerald,4,4,4
10.1177/09500170261454074,Employment as a Foreign Realm: Spatial Alienation and Conceptions of Work among People with Experience of Homelessness,Richard N.S. Robinson; Peter Lugosi; Cameron Parsell,"Newcastle Business School, University of Northumbria, UK; Oxford Brookes Business School, Oxford Brookes University, UK; School of Social Science, The University of Queensland, Australia","Work and employment are frequently presented as potential solutions for socially excluded people to overcome their disadvantage(s) and to (re)integrate into society. To assess the viability of pursuing employment pathways, it is important to understand previous engagement with, perceptions of, and attitudes towards work and employment among those who have encountered multiple forms of social exclusion. Drawing on qualitative interviews with 63 people who had experienced homelessness in Australia, this article examines what work means to people excluded from housing and work realms. The article proposes spatial alienation to conceptualise affective (constructive-antagonistic) and temporal (past-future) orientations to work, arguing that work can represent ordered , tainted , aspirational , and hostile space. The findings identify various factors that shape these orientations, demonstrate their consequences, and illustrate the agency that socially disadvantaged individuals exercise through and in relation to their engagement with work and employment.","Work, Employment and Society",2026-09-16,journal-article,https://doi.org/10.1177/09500170261454074,1469-8722,"Work, Employment and Society",HRM&EMP,SAGE,4,4,4
10.1177/00380385261472827,(Un)Real matters: Toward the making of fabrication studies,Brian Rappert,"University of Exeter, UK","The place of truth in public life has garnered a heightened status in recent times. Considerable efforts are underway in popular and academic forums to shore up true beliefs against their identified counterparts. However, the adequacy of such efforts has been a continuing topic of concern. Such lingering worry points to the intellectual and normative need for sustained programmes of research that offer alternative, but generative, foci and agendas. In response, this article poses the question: How do recognised fabrications contribute to social, political and professional life? The term ‘fabrication’ is offered as an umbrella category to refer to claims and representations that, crucially, people mutually regard as false, imagined, fallacious, invalid or otherwise flawed. As will be argued, the sheer pervasiveness of fabrications suggests the need to re-think the starting presumptions evident in contemporary discussions about truth, truth telling and trust.",Sociology,2026-09-16,journal-article,https://doi.org/10.1177/00380385261472827,1469-8684,Sociology,SOC SCI,SAGE,4,4,4
10.1007/s11192-026-05584-3,Ptsl: a semantic structure-based patent transfer path prediction model using large language models and heterogeneous network analysis,Fuxin Wang; Ran Ran; Haiying Huang; Xingshen Liu; Wang Li; Congjing Ran,,,Scientometrics,2026-09-16,journal-article,https://doi.org/10.1007/s11192-026-05584-3,1588-2861,Scientometrics,INNOV,Springer Nature,4,4,4
10.1007/s11192-026-05798-5,On association between the research performance of academic advisors and their PhD students,Sandi Klavžar; Jelena Klisara; Borut Lužar; Nika Robida; Katarina Rojko,,"Abstract In this paper, we examine whether and how the research performance of advisors is associated with that of their PhD students. We analyze the entire population of PhD students in Slovenia who successfully defended their theses, along with their advisors, between 1988 and 2022. For each individual, we compute five bibliometric indicators (covering the publication activities, collaboration patterns, and research independence) within a five-year interval around the PhD defense and use these values to classify students and advisors into six performance classes. Our results show that while students mirror their advisors’ collaboration patterns, their productivity and independence exhibit weak and negative correlations, respectively, although significant differences are observed across scientific disciplines. Additionally, over the past 35 years, student–advisor dynamics have generally shifted from independent relationships to more collaborative ones. Today’s students are more integrated into their advisors’ research networks and have more coauthors, while their productivity shows a downward trend. Our findings highlight the uneven distribution of mentorship effects and suggest practical implications for doctoral programs, including the need to strengthen support mechanisms that help students to select suitable advisors.",Scientometrics,2026-09-16,journal-article,https://doi.org/10.1007/s11192-026-05798-5,1588-2861,Scientometrics,INNOV,Springer Nature,4,4,4
10.1111/risa.70360,Simulation Study of the Decision Logic for 95% Upper Confidence Limit Calculations Applied in ProUCL 5.2,Leah D. Stuchal; Sara Hutton; Casey Remmer; Noah Goodkind; Philip Goodrum,Center for Environmental and Human Toxicology University of Florida Gainesville Florida USA; GSI Environmental Fayetteville New York USA,"ABSTRACT Risk assessors typically estimate long‐term exposure by calculating a 95th percentile upper confidence level (95UCL) on the mean concentration across an exposure area. There are several methods for calculating a 95UCL. The United States Environmental Protection Agency has developed software (ProUCL) that calculates and recommends a 95UCL methodology based on the properties of the dataset. Release of ProUCL Version 5.2 in 2022 demonstrated a significant change in the decision tree used to recommend a 95UCL method. To evaluate the differences between ProUCL 5.1 and 5.2, a simulation study was performed that includes a range of samples sizes, coefficients of variation, and frequency of non‐detects often seen in environmental datasets. Over 160,000 datasets were evaluated, and 95UCLs were calculated using both versions of the software. The results demonstrate a trade‐off in coverage and accuracy between the two versions. ProUCL 5.2 recommends 95UCLs that exhibit greater accuracy but have lower coverage. ProUCL 5.1 recommends 95UCLs that achieve higher coverage, but accuracy is typically reduced by a factor of two. Future versions of ProUCL software could be improved through revisions to the decision tree that provide an appropriate balance between coverage and accuracy while also allowing advanced users to evaluate alternative performance criteria within applicable regulatory requirements.",Risk Analysis,2026-09-16,journal-article,https://doi.org/10.1111/risa.70360,1539-6924,Risk Analysis,SOC SCI,Wiley-Blackwell,4,4,4
10.1111/risa.70357,Can Knowledge Counteract Conflict? A Partial Replication Study of PFAS Science Communication,Laura N. Rickard; Janet Z. Yang; Carter Emerson; Gulsen Brennan‐Buyukaydin,"Department of Communication and Journalism University of Maine Orono Maine USA; Department of Communication University at Buffalo, SUNY Buffalo New York USA; School of Communication The Ohio State University Columbus Ohio USA","ABSTRACT On the basis of two surveys embedded with a 3 × 2 full‐factorial experiment, we examine whether exposing participants to a message about the process of scientific inquiry prepares them to deal with conflicting risk information more effectively. Study 1 suggests initial evidence that, as compared to a testimonial, analogical and inoculation appeals increased trust in science when followed by consistent information. Conflicting information, conversely, was detrimental to risk perception, especially when paired with an inoculation appeal. These findings were not replicated in Study 2. Nevertheless, across both studies, trust in science, message credibility, risk perception, and self‐efficacy were related to policy support and behavioral intention, whereas fatalism exercised an indirect effect through risk perception and self‐efficacy. Findings highlight the importance of consistent messaging when communicating an emergent environmental health risk—here, per‐ and polyfluoroalkyl substances (PFAS)—while suggesting challenges in fostering a scientific mindset.",Risk Analysis,2026-09-16,journal-article,https://doi.org/10.1111/risa.70357,1539-6924,Risk Analysis,SOC SCI,Wiley-Blackwell,4,4,4
10.1080/00343404.2026.2723299,"Silent deindustrialisation: a qualitative account of regional industrial decline in Gongju, South Korea",Dongsuk Huh; Byung Taek Choi,Gongju National University of Education,,Regional Studies,2026-09-16,journal-article,https://doi.org/10.1080/00343404.2026.2723299,1360-0591,Regional Studies,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Taylor & Francis,4,4,3.0
10.1080/14719037.2026.2720763,"Welfare State Convergence or Robustness? Comparing Nonprofit Marketization Patterns Across Belgium, Sweden and the United States",Ben Suykens; Johan Hvenmark; ChiaKo Hung; Aaron Van Steenlandt; Bram Verschuere,Ghent University; Marie Cederschiöld University; University of Oxford; University of Pennsylvania,,Public Management Review,2026-09-16,journal-article,https://doi.org/10.1080/14719037.2026.2720763,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
10.1080/14719037.2026.2733934,From co-production to value co-creation: NGOs as catalysts of cyclical public value in rural China,Jingjing Cai; Kaisar Kaher,Nankai University; Xiamen University,,Public Management Review,2026-09-16,journal-article,https://doi.org/10.1080/14719037.2026.2733934,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
10.1177/10591478261491419,EXPRESS: To Cooperate or Not? A Finite-Capacity Manufacturer’s Decision to Enter the Sharing Market,Kangning Jin; Ying-Ju Chen; Yong-Wu Zhou; Xiaogang Lin,,"Recently, more manufacturers have embraced peer-to-peer product sharing by complementing their traditional sales channels with direct cooperation with sharing platforms to supply products for rental. Unlike prior studies, this paper considers a manufacturer with finite production capacity and investigates whether and under what conditions it chooses to cooperate with a sharing platform, as well as how such cooperation affects capacity utilization. We find that cooperation may arise under both high and low capacity regimes, but for fundamentally different reasons. When the commission rate is high, cooperation is driven by scarcity monetization: the manufacturer cooperates when either marginal production cost is high or capacity is limited, as product scarcity can be sustained and sharing-channel revenue is substantial. When the commission rate is low, cooperation becomes a capacity-utilization strategy and occurs only when marginal production cost is low and capacity is sufficiently large, so that the benefit from absorbing idle capacity outweighs sales cannibalization. We further show that cooperation does not necessarily increase the selling price or reduce the rental price, as pricing and allocation responses depend critically on the commission environment. Finally, cooperation is not a universal remedy for capacity waste. It improves capacity utilization only when the sharing channel effectively absorbs excess capacity under a low commission rate. In contrast, when cooperation is driven by scarcity preservation under a high commission rate, its ability to reduce idle capacity is limited. Moreover, the per-unit idle cost plays an asymmetric role: it discourages cooperation under scarcity-driven regimes but encourages cooperation under capacity-utilization regimes.",Production and Operations Management,2026-09-16,journal-article,https://doi.org/10.1177/10591478261491419,1937-5956,Production and Operations Management,OPS&TECH,Wiley-Blackwell,4,4,4
